brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,7.600.000 đ
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,SSD,5.400.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Khác,256 GB,Mỹ,In trên bao bì,SSD,3.950.000 đ
Apple,MacBook Pro,Mới,Bảo hành hãng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,14.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,SSD,5.990.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),3 tháng,17 - 18.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,4.950.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,5.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,14.900.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,3.300.000 đ
MSI,GF Series,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,14.900.000 đ
Apple,MacBook Pro,Đã sử dụng (qua sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,7.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,2.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,3.800.000 đ
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i3,4 GB,Onboard,< 128 GB,Đang cập nhật,In trên bao bì,SSD,1.200.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,14.000.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Core i7,16 GB,NaN,512 GB,Đang cập nhật,In trên bao bì,NaN,14.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Nhật Bản,In trên bao bì,SSD,4.600.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,7.700.000 đ
Acer,Aspire,Mới,Còn bảo hành,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,250 GB,Mỹ,In trên bao bì,SSD,4.800.000 đ
Dell,Latitude,Mới,>12 tháng,13 - 14.9 inch,Khác,32 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,21.990.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Khác,256 GB,Nhật Bản,In trên bao bì,SSD,3.330.000 đ
Lenovo,ThinkPad,Mới,1 tháng,15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,21.900.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,12.990.000 đ
Apple,MacBook,Đã sử dụng (chưa sửa chữa),3 tháng,NaN,NaN,16 GB,NaN,512 GB,Đang cập nhật,In trên bao bì,SSD,16.600.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Nhật Bản,In trên bao bì,SSD,7.000.000 đ
Acer,Aspire,Mới,Còn bảo hành,15 - 16.9 inch,Intel Core i7,8 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,10.990.000 đ
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,4.900.000 đ
Acer,Aspire,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Khác,16 GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,NaN,8.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,6.500.000 đ
Asus,Zenbook Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Nước khác,In trên bao bì,HDD,6.000.000 đ
Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,11 - 12.9 inch,Intel Pentium,4 GB,Onboard,128 GB,Việt Nam,In trên bao bì,SSD,2.800.000 đ
Apple,MacBook Pro,Mới,Bảo hành hãng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,14.500.000 đ
HP,ProBook,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Pentium,4 GB,Khác,128 GB,Đang cập nhật,In trên bao bì,SSD,1.490.000 đ
Apple,Macbook Air M3,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Khác,> 32GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,24.500.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),3 tháng,17 - 18.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,4.950.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,4.200.000 đ
Asus,Zenbook Series,Mới,Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,13.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,7.550.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,14.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Nhật Bản,In trên bao bì,SSD,4.600.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,7.700.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Khác,16 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,36.900.000 đ
Acer,Aspire,Mới,Còn bảo hành,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,250 GB,Mỹ,In trên bao bì,SSD,4.800.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,7.000.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Khác,256 GB,Nhật Bản,In trên bao bì,SSD,3.330.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,11.900.000 đ
Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Ryzen 7,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,9.999.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.500.000 đ
Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,NaN,8 GB,NaN,256 GB,Mỹ,In trên bao bì,NaN,12.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,12.900.000 đ
Acer,Aspire,Mới,Còn bảo hành,15 - 16.9 inch,Intel Core i7,8 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,10.990.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,14.900.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),7-12 tháng,13 - 14.9 inch,Ryzen 5,16 GB,NaN,256 GB,Mỹ,In trên bao bì,SSD,9.100.000 đ
MSI,W Series,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i9,32 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,20.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Ryzen 7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,15.000.000 đ
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Thái Lan,In trên bao bì,SSD,4.500.000 đ
Lenovo,Legion Y Series,Mới,7-12 tháng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,51.000.000 đ
Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,11 - 12.9 inch,Intel Pentium,4 GB,Onboard,128 GB,Việt Nam,In trên bao bì,SSD,2.800.000 đ
HP,ProBook,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Pentium,4 GB,Khác,128 GB,Đang cập nhật,In trên bao bì,SSD,1.490.000 đ
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,10.800.000 đ
Asus,Zenbook Series,Mới,Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,13.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,3.900.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nhật Bản,In trên bao bì,SSD,3.300.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,250 GB,Trung Quốc,In trên bao bì,SSD,4.850.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,5.800.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.200.000 đ
Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Ryzen 7,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,9.999.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Còn bảo hành,17 - 18.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,Đài Loan,In trên bao bì,SSD,12.800.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,8 GB,NaN,256 GB,Nước khác,In trên bao bì,SSD,9.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,12.900.000 đ
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Khác,16 GB,Onboard,1 TB,Mỹ,In trên bao bì,SSD,37.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),7-12 tháng,13 - 14.9 inch,Ryzen 5,16 GB,NaN,256 GB,Mỹ,In trên bao bì,SSD,9.100.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,4.700.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Ryzen 7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,15.000.000 đ
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Thái Lan,In trên bao bì,SSD,4.500.000 đ
HP,ZBook,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,21.500.000 đ
Lenovo,Legion Y Series,Mới,7-12 tháng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,51.000.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Nước khác,In trên bao bì,SSD,8.990.000 đ
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,10.800.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,3.800.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,3.900.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,8.000.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,4.500.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Nhật Bản,In trên bao bì,SSD,3.300.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,250 GB,Trung Quốc,In trên bao bì,SSD,4.850.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,5.800.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,13.650.000 đ
MSI,GF Series,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,9.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,18.900.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,HDD,1.800.000 đ
Microsoft,Surface Pro 8,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,19.900.000 đ
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Khác,16 GB,Onboard,1 TB,Mỹ,In trên bao bì,SSD,37.500.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,15.900.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),4-6 tháng,17 - 18.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,4.700.000 đ
Dell,Latitude,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Mỹ,In trên bao bì,SSD,2.600.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,17.900.000 đ
Microsoft,Surface Laptop,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,32 GB,Onboard,1 TB,Việt Nam,In trên bao bì,SSD,180.000.000 đ
Apple,MacBook Pro,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,3.800.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,4.700.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Nước khác,In trên bao bì,SSD,8.990.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,3.800.000 đ
Sony,Vaio Series,Đã sử dụng (qua sửa chữa),Bảo hành hãng,11 - 12.9 inch,Intel Core i5,8 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,HDD,700.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,NaN,12.500.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,13.650.000 đ
MSI,GF Series,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,9.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,18.900.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,HDD,1.800.000 đ
HP,Victus,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,12.900.000 đ
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,800.000 đ
Microsoft,Surface Pro 8,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,19.900.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,1.900.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,15.900.000 đ
Dell,G Series,Mới,7-12 tháng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,32.000.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,17.900.000 đ
Apple,MacBook Pro,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,3.800.000 đ
