brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Microsoft,Surface,Mới,7-12 tháng,13 - 14.9 inch,Khác,16 GB,Khác,1 TB,Mỹ,In trên bao bì,SSD,36.000.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,17.900.000 đ
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Khác,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,28.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,8.800.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,13.900.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,20.500.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,3.800.000 đ
MSI,GF Series,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,SSD,10.500.000 đ
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,15.900.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,4.500.000 đ
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Ryzen 5,8 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,13.900.000 đ
Asus,TUF Gaming,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,14.900.000 đ
Dell,XPS,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,11.500.000 đ
HP,Victus,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,12.900.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,1.900.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,NaN,4 GB,Onboard,250 GB,Việt Nam,In trên bao bì,SSD,850.000 đ
Apple,Macbook Pro M3,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Khác,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,65.000.000 đ
Asus,X Series,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,3.999.999 đ
Dell,XPS,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,11.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,17.900.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,6 GB,NaN,128 GB,Đang cập nhật,In trên bao bì,SSD,600.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,8.800.000 đ
Lenovo,Legion Y Series,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Trung Quốc,In trên bao bì,NaN,80.000.000 đ
Dell,G Series,Mới,7-12 tháng,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,32.000.000 đ
HP,Envy,Mới,1 tháng,15 - 16.9 inch,Khác,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,14.800.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.700.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,5.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,9.200.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,AMD,16 GB,AMD,512 GB,Trung Quốc,In trên bao bì,SSD,9.000.000 đ
Microsoft,Dòng khác,Mới,Còn bảo hành,13 - 14.9 inch,Khác,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,26.500.000 đ
Microsoft,Surface,Mới,7-12 tháng,13 - 14.9 inch,Khác,16 GB,Khác,1 TB,Mỹ,In trên bao bì,SSD,36.000.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,4.500.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,6.800.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,NaN,4 GB,Onboard,250 GB,Việt Nam,In trên bao bì,SSD,850.000 đ
Samsung,Galaxy Book,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Việt Nam,In trên bao bì,NaN,14.800.000 đ
Asus,X Series,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,3.999.999 đ
Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Khác,8 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,13.500.000 đ
Microsoft,Surface Laptop,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,10.000.000 đ
Lenovo,Legion Y Series,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Trung Quốc,In trên bao bì,NaN,80.000.000 đ
HP,Envy,Mới,1 tháng,15 - 16.9 inch,Khác,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,14.800.000 đ
Dell,Latitude,Mới,Bảo hành hãng,NaN,Intel Core i5,16 GB,NaN,256 GB,Nhật Bản,In trên bao bì,SSD,6.200.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i7,16 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,NaN,7.000.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,4.500.000 đ
Microsoft,Surface,Mới,Bảo hành hãng,13 - 14.9 inch,Intel Core i7,32 GB,AMD,1 TB,Việt Nam,In trên bao bì,NaN,16.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,3.900.000 đ
Microsoft,Dòng khác,Mới,Còn bảo hành,13 - 14.9 inch,Khác,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,26.500.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,Intel Xeon,> 32GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,26.000.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,3.500.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i3,4 GB,NaN,128 GB,Đang cập nhật,In trên bao bì,SSD,1.450.000 đ
Dell,Precision,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Mỹ,In trên bao bì,NaN,16.900.000 đ
Microsoft,Surface,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Trung Quốc,In trên bao bì,NaN,44.490.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,6.800.000 đ
Dell,Precision,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Mỹ,In trên bao bì,NaN,16.900.000 đ
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),4-6 tháng,17 - 18.9 inch,Intel Core i9,16 GB,NVIDIA,> 1 TB,Việt Nam,In trên bao bì,SSD,29.800.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.300.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,4 GB,AMD,750 GB,Việt Nam,In trên bao bì,SSD,1.990.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,6.500.000 đ
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Khác,NaN,NVIDIA,1 TB,Hàn Quốc,In trên bao bì,SSD,30.500.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,4.500.000 đ
Dell,Inspiron,Mới,>12 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,1 TB,Trung Quốc,In trên bao bì,SSD,18.490.000 đ
Apple,MacBook Air,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,500 GB,Mỹ,In trên bao bì,SSD,7.000.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,6.000.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,21.490.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,3.300.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.100.000 đ
Microsoft,Surface,Mới,Bảo hành hãng,13 - 14.9 inch,Intel Core i7,32 GB,AMD,1 TB,Việt Nam,In trên bao bì,NaN,16.900.000 đ
Dell,XPS,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Ryzen 3,4 GB,Onboard,256 GB,Trung Quốc,In trên bao bì,SSD,1.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,6 GB,Khác,128 GB,Việt Nam,In trên bao bì,SSD,1.450.000 đ
Acer,Aspire,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Celeron,2 GB,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,1.300.000 đ
Apple,MacBook Pro M2,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,NaN,NaN,NaN,NaN,Việt Nam,In trên bao bì,NaN,40.000.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,21.490.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,4 GB,AMD,750 GB,Việt Nam,In trên bao bì,SSD,1.990.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,17.990.000 đ
Acer,Aspire,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Celeron,2 GB,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,1.300.000 đ
Apple,MacBook Air,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,500 GB,Mỹ,In trên bao bì,SSD,7.000.000 đ
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,28.500.000 đ
Microsoft,Surface,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,NaN,512 GB,Mỹ,In trên bao bì,NaN,9.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,6.700.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,6.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,6.990.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.500.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,NaN,Đang cập nhật,In trên bao bì,NaN,1.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,13.900.000 đ
Razer,Blade,Mới,Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Mỹ,In trên bao bì,NaN,45.000.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,9.990.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.100.000 đ
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Khác,NaN,NVIDIA,1 TB,Hàn Quốc,In trên bao bì,SSD,30.500.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,SSD,4.500.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,12.200.000 đ
Apple,MacBook Pro M1 Touch Bar,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Khác,16 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,22.000.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,4.500.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Việt Nam,In trên bao bì,SSD,12.200.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Pentium,4 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,SSD,1.200.000 đ
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,28.500.000 đ
Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Khác,16 GB,Onboard,1 TB,Đang cập nhật,In trên bao bì,SSD,18.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,6.700.000 đ
Microsoft,Surface,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i7,16 GB,NaN,512 GB,Mỹ,In trên bao bì,NaN,9.000.000 đ
Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Core i3,4 GB,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,450.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),4-6 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Khác,256 GB,Mỹ,In trên bao bì,SSD,4.490.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i7,16 GB,AMD,512 GB,Đang cập nhật,In trên bao bì,SSD,14.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,5.499.000 đ
Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,17 - 18.9 inch,Intel Core i5,8 GB,Khác,128 GB,Việt Nam,In trên bao bì,SSD,3.000.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,9.990.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,3.600.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,11.990.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.800.000 đ
Acer,Aspire,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,6 GB,Khác,1 TB,Nước khác,In trên bao bì,HDD,800.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,128 GB,Mỹ,In trên bao bì,SSD,3.200.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,2.700.000 đ
Apple,MacBook Pro M1 Touch Bar,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Khác,16 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,22.000.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,4.500.000 đ
HP,ZBook,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Core i7,16 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,8.800.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Pentium,4 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,SSD,1.200.000 đ
Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Core i3,4 GB,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,450.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Mỹ,In trên bao bì,SSD,6.550.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,4.599.000 đ
Apple,MacBook Pro M2,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,NaN,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,21.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,SSD,2.300.000 đ
HP,ZBook,Mới,7-12 tháng,15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,1 TB,Mỹ,In trên bao bì,SSD,36.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.900.000 đ
