brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),Hết bảo hành,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,9.900.000 đ
Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,17 - 18.9 inch,Intel Core i5,8 GB,Khác,128 GB,Việt Nam,In trên bao bì,SSD,3.000.000 đ
HP,ProBook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,5.600.000 đ
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,2.700.000 đ
HP,Elitebook,Mới,Bảo hành hãng,11 - 12.9 inch,Intel Core i5,8 GB,Khác,128 GB,Mỹ,In trên bao bì,SSD,2.500.000 đ
Acer,Aspire,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,6 GB,Khác,1 TB,Nước khác,In trên bao bì,HDD,800.000 đ
Microsoft,Surface Pro 9,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Core i5,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,19.500.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i7,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,18.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,5.700.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),4-6 tháng,17 - 18.9 inch,Intel Core i7,32 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,SSD,4.999.000 đ
Sony,F Series,Mới,3 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,14.500.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i7,NaN,NaN,256 GB,Nhật Bản,In trên bao bì,SSD,5.500.000 đ
Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,13.700.000 đ
HP,ProBook,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,17 - 18.9 inch,Intel Core i5,4 GB,AMD,250 GB,Đang cập nhật,In trên bao bì,HDD,650.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Khác,128 GB,Việt Nam,In trên bao bì,SSD,7.500.000 đ
HP,Envy,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Ryzen 7,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,12.900.000 đ
Apple,MacBook Pro M1 Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,NaN,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,19.900.000 đ
Apple,MacBook Pro M2,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,NaN,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,21.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,NVIDIA,128 GB,Nước khác,In trên bao bì,SSD,2.300.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Mỹ,In trên bao bì,NaN,850.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,4.700.000 đ
Dell,Precision Mobile Workstations,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i7,> 32GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,12.900.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Ryzen 5,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,SSD,3.990.000 đ
HP,ProBook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,5.600.000 đ
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,2.700.000 đ
HP,Elitebook,Mới,Bảo hành hãng,11 - 12.9 inch,Intel Core i5,8 GB,Khác,128 GB,Mỹ,In trên bao bì,SSD,2.500.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,3.350.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,5.700.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,AMD,16 GB,AMD,1 TB,Trung Quốc,In trên bao bì,SSD,15.000.000 đ
Dell,Vostro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,512 GB,Đang cập nhật,In trên bao bì,SSD,8.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,8.300.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,24.900.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),4-6 tháng,17 - 18.9 inch,Intel Core i7,32 GB,NVIDIA,256 GB,Nước khác,In trên bao bì,SSD,4.999.000 đ
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i7,NaN,NaN,256 GB,Nhật Bản,In trên bao bì,SSD,5.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Còn bảo hành,11 - 12.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,3.500.000 đ
HP,Envy,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Ryzen 7,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,12.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,11 - 12.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,SSD,3.500.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,7.500.000 đ
Dell,Latitude,Mới,Còn bảo hành,13 - 14.9 inch,Intel Core i7,32 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.500.000 đ
Acer,Predator,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,13.950.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,4.700.000 đ
Dell,Precision Mobile Workstations,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i7,> 32GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,12.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),>12 tháng,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,9.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Mỹ,In trên bao bì,SSD,2.800.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Còn bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Mỹ,In trên bao bì,HDD,1.600.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,> 1 TB,Việt Nam,In trên bao bì,SSD,2.800.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i9,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,13.500.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,AMD,16 GB,AMD,1 TB,Trung Quốc,In trên bao bì,SSD,15.000.000 đ
Dell,Vostro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,512 GB,Đang cập nhật,In trên bao bì,SSD,8.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),>12 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.300.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,7.300.000 đ
Sony,F Series,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,SSD,3.500.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,24.900.000 đ
Dell,G Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Trung Quốc,In trên bao bì,SSD,10.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Việt Nam,In trên bao bì,SSD,4.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i7,32 GB,Onboard,NaN,Mỹ,In trên bao bì,SSD,9.500.000 đ
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Ryzen 7,8 GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,SSD,9.600.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,11 - 12.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,SSD,3.500.000 đ
HP,ZBook,Đã sử dụng (chưa sửa chữa),4-6 tháng,17 - 18.9 inch,Intel Core i7,32 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,12.900.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Còn bảo hành,11 - 12.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,3.500.000 đ
Sony,Vaio Series,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,In trên bao bì,SSD,5.900.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Xeon,32 GB,NVIDIA,512 GB,Mỹ,In trên bao bì,SSD,15.500.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.500.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Đang cập nhật,In trên bao bì,SSD,12.900.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),4-6 tháng,15 - 16.9 inch,Intel Core i9,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,13.500.000 đ
Apple,MacBook Pro,Mới,3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,14.500.000 đ
Acer,Aspire,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,> 1 TB,Đài Loan,In trên bao bì,SSD,7.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,9.000.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,SSD,5.200.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i9,32 GB,AMD,1 TB,Đang cập nhật,In trên bao bì,SSD,17.990.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,5.500.000 đ
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Ryzen 7,8 GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,SSD,9.600.000 đ
MSI,GF Series,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,NaN,8 GB,NVIDIA,256 GB,Đang cập nhật,In trên bao bì,SSD,9.900.000 đ
Dell,XPS,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,8.800.000 đ
Dell,Vostro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,3.700.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,7.400.000 đ
Lenovo,Legion Y Series,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Ryzen 7,16 GB,NVIDIA,512 GB,Việt Nam,In trên bao bì,SSD,19.890.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Mỹ,In trên bao bì,SSD,7.500.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),>12 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,6.300.000 đ
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Ryzen 9,8 GB,AMD,256 GB,Nhật Bản,In trên bao bì,SSD,10.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,11.000.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Ryzen 7,16 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,NaN,13.900.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,7.700.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,11 - 12.9 inch,Intel Core i3,8 GB,Onboard,128 GB,Đang cập nhật,In trên bao bì,SSD,3.500.000 đ
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i3,8 GB,Khác,256 GB,Đang cập nhật,In trên bao bì,SSD,2.500.000 đ
Asus,ASUSPRO,Mới,Hết bảo hành,15 - 16.9 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,SSD,3.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Mỹ,In trên bao bì,SSD,7.400.000 đ
Apple,MacBook Air M1,Mới,Còn bảo hành,13 - 14.9 inch,Khác,8 GB,Khác,256 GB,Nước khác,In trên bao bì,SSD,12.490.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Mỹ,In trên bao bì,SSD,11.000.000 đ
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,Ryzen 7,16 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,NaN,13.900.000 đ
Apple,Dòng Khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,>= 21 inch,Khác,16 GB,Khác,256 GB,Việt Nam,In trên bao bì,SSD,21.000.000 đ
Apple,MacBook Air M2,Mới,Còn bảo hành,13 - 14.9 inch,Khác,8 GB,Khác,256 GB,Nước khác,In trên bao bì,SSD,17.890.000 đ
HP,Elitebook,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,500 GB,Việt Nam,In trên bao bì,SSD,7.000.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Celeron,4 GB,Onboard,128 GB,Nhật Bản,In trên bao bì,SSD,2.300.000 đ
Apple,MacBook Air,Mới,Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Mỹ,In trên bao bì,SSD,4.990.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Mỹ,In trên bao bì,SSD,9.000.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,500 GB,Mỹ,In trên bao bì,SSD,5.200.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,13 - 14.9 inch,Intel Core i5,8 GB,NaN,256 GB,Đang cập nhật,In trên bao bì,SSD,7.300.000 đ
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Đang cập nhật,In trên bao bì,SSD,7.900.000 đ
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),Còn bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,Mỹ,In trên bao bì,SSD,7.990.000 đ
MSI,Crosshair/ Pulse Series,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,17.800.000 đ
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,19 - 20.9 inch,Intel Core i3,8 GB,AMD,128 GB,Nhật Bản,In trên bao bì,SSD,3.500.000 đ
Apple,MacBook Air M2,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,NaN,8 GB,NaN,512 GB,Mỹ,In trên bao bì,NaN,22.790.000 đ
Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,32 GB,NVIDIA,512 GB,Đang cập nhật,In trên bao bì,SSD,18.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Đang cập nhật,In trên bao bì,SSD,4.900.000 đ
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),1 tháng,11 - 12.9 inch,Intel Celeron,4 GB,Onboard,128 GB,Nhật Bản,In trên bao bì,SSD,2.300.000 đ
Asus,ROG Strix Scar,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Đang cập nhật,In trên bao bì,SSD,7.900.000 đ
Apple,MacBook Air M2,Mới,Còn bảo hành,13 - 14.9 inch,Khác,8 GB,Khác,256 GB,Nước khác,In trên bao bì,SSD,17.890.000 đ
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,8 GB,NaN,128 GB,Đang cập nhật,In trên bao bì,SSD,1.500.000 đ
Apple,MacBook Air,Mới,Còn bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Mỹ,In trên bao bì,SSD,4.990.000 đ
Asus,ASUSPRO,Mới,Hết bảo hành,15 - 16.9 inch,Intel Core i3,8 GB,NVIDIA,128 GB,Việt Nam,In trên bao bì,SSD,3.000.000 đ
HP,Chromebook,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i3,8 GB,Onboard,256 GB,Trung Quốc,In trên bao bì,SSD,5.000.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,11 - 12.9 inch,Intel Core i5,8 GB,NaN,128 GB,Đang cập nhật,In trên bao bì,SSD,4.500.000 đ
Dell,Latitude,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,NaN,NaN,NaN,NaN,NaN,Đang cập nhật,In trên bao bì,NaN,8.600.000 đ
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i9,16 GB,Onboard,512 GB,Nhật Bản,In trên bao bì,SSD,16.800.000 đ
Dell,Vostro,Đã sử dụng (chưa sửa chữa),1 tháng,13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Việt Nam,In trên bao bì,SSD,1.349.000 đ
Apple,MacBook Pro M1,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Khác,8 GB,NVIDIA,256 GB,Việt Nam,In trên bao bì,SSD,14.900.000 đ
